Code,Name,Registration_number,Keph level,Facility type,Owner,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
15890,GK Prison Dispensary ( Bungoma South),,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,No,No,,Yes,Yes,No
16015,Miendo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,36,0,BUNGOMA,WEBUTE WEST,webuye west,BOKOLI,Operational,No,No,No,No,,Yes,Yes,No
15912,Kabula Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,BUMULA,bumula,KABULA,Operational,No,No,No,No,,Yes,Yes,No
16034,Mumbule Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KANDUYI,kanduyi,EAST SANG'ALO,Operational,No,No,No,No,,Yes,Yes,No
16014,Mechimeru Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,6,0,BUNGOMA,KANDUYI,kanduyi,EAST SANG'ALO,Operational,No,No,No,No,,Yes,Yes,No
16075,Nasianda Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,BUMULA,bumula,BUMULA,Operational,No,No,Yes,No,,Yes,Yes,No
15821,Bulondo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,12,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,No,No,No,,Yes,Yes,No
15919,Kamuneru Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,mt elgon,ELGON,Operational,No,No,No,No,,Yes,Yes,No
16099,Sacha Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,7,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,Yes,No,Yes,No,,Yes,Yes,No
15855,Cheptais Sub District Hospital,,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,14,0,BUNGOMA,MT. ELGON,Cheptais,CHEPTAIS,Operational,Yes,No,Yes,No,,Yes,Yes,No
